acronym,R,G,B
P,49,175,245
St,241,203,58
Di,240,91,18
Cb,172,251,56
Pn,223,223,55
Me,71,123,242
A,32,199,223
CDL,65,150,255
Ento,34,235,170
H,200,239,52
HP,122,4,3
M,143,255,73
N,56,39,109
OB,63,246,138
N.Rot,70,97,214
OT,47,241,155
CN-HP,252,179,54
CN-H,208,47,5
NFT,250,123,31
Gld,65,70,172
PrVd,226,67,10
PrVv,254,153,44
SpVl,61,53,139
SpVm,48,18,59
